_id,nombres,apellidos,email,email_validacion,password,estado,fullname,createdAT,__v
680450bf24880247e3b6d6fd,Julio Ernesto,Sánchez,sánchez.julio@outlook.com,True,$2b$10$ZXbYNWSpZQRuekqMfHsF.OqHXAh7VvTEbz.c0qAoLrcWtC4lTdas6,True,Julio Ernesto Sánchez,2024-07-01 15:38:11.000,0
680450bf24880247e3b6d6fe,Beatriz Mónica,Santiago,beatriz.santiago@icloud.com,True,$2b$10$zdR58FdxUfc1DgedEfxei.Xfn2aAgUiXDHL98YUkeAmA2SW9dZy5O,True,Beatriz Mónica Santiago,2024-07-02 19:30:00.000,0
680450bf24880247e3b6d6ff,Carolina,Pascual,carolina_pascual@live.com,True,$2b$10$qTVQaXuPCZgW9/q7GUxF7.rAA/FsDlDfIl4AbfQJmq0n8Llnch9ra,True,Carolina Pascual,2024-07-03 19:52:06.000,0
680450bf24880247e3b6d700,Catalina,Vargas,vargasc@outlook.com,True,$2b$10$YhhJRYdu1K.Rsp1OSrJIxe7jfvid2rj3iOld8XMo4hx8gfWheynUG,True,Catalina Vargas,2024-07-03 21:17:26.000,0
680450bf24880247e3b6d701,Daniel,Moya Marín,danielmoya664@icloud.com,True,$2b$10$nXrpWGOxya.VAcw07yTiCeuxvAt8uLXFDtham8aHBpVBl4xYDRO32,True,Daniel Moya Marín,2024-07-03 22:29:24.000,0
680450bf24880247e3b6d702,Enrique Alfredo,Vargas,enrique163@hotmail.com,True,$2b$10$5RVmiEPSodecrvmEESDmOevrfvXmBFiwBjUxvAAzNkhaK95ncpmHy,True,Enrique Alfredo Vargas,2024-07-04 23:14:52.000,0
680450bf24880247e3b6d703,Guadalupe,Márquez,guadalupemárquez660@hotmail.com,True,$2b$10$v/WYgSLf0c0hS/B7CmZz9OAV.c2dJdEtAh3UE/gCc7Gi/PdJLPPIu,True,Guadalupe Márquez,2024-07-05 10:39:55.000,0
680450bf24880247e3b6d704,Hugo Ricardo,Rubio,rubio.hugo@icloud.com,True,$2b$10$8kYJd.AHzuhPqEASlJw3EuXq64s.ASk/l.PrDaGQs72ABzJwJWlaq,True,Hugo Ricardo Rubio,2024-07-05 10:43:47.000,0
680450bf24880247e3b6d705,Mónica Elena,Fernández Navarro,mónicafernández88@live.com,True,$2b$10$5G4UwyqK3oL6UOV/JvIro./.XDmDcakhtirfFwPfZ2HLBDJCtu99G,True,Mónica Elena Fernández Navarro,2024-07-05 13:04:21.000,0
680450bf24880247e3b6d706,Rubén,Alonso Gallego,rubénalonso542@aol.com,True,$2b$10$CQ9vwcxVrlsXp5joM5ePmOuv3U6Ww8UUOwWdqI.tyIMc/NuDNG9TK,True,Rubén Alonso Gallego,2024-07-05 19:32:11.000,0
